hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
אפשר,Allowed (Qal),ef'shar,Modals,,Allowed (Qal),Modal,pshr,e1fe74d643d83729f32d34ade90922f0,
הילדות,,,Plurals,,,Plurals,hyldvt,c22b5fd30c768e5714300b0029b2d36b,
נפתחת,is opened,,Nif'al Construction,is opened,,Nifal-Construction,nptkht,b3a345bb74f90ecdbddd09ca71e74654,
נראֶה,We,nir'eh,Nif'al Construction,,We,Nifal-Construction,nreh,fc97ab27d4d2265503e62249db8d54d3,
נפתח,Was Opened,nif'takh,Nif'al Construction,,Was Opened,Nifal-Construction,nptkh,9d6f5fb404e4a6661f2532a0d259cf8b,
סטודנטית,,,Education,,,Education,stvdntyt,2fd36460423399a0bba5502183648cbf,
חסר משמעות,,,Education,,,Education,khsr mshm`vt,d6e476f9a2ba65567e31fc4f3cab26dc,
השיעורים,,,Education,,,Education,hshy`vrym,19d7d014ade6ec41bf175e5f2458ac8f,
קשיים,Difficulty,koshi k'shayim,Education,,Difficulty,Education,qshyym,c37677cdf18968ac417b88837f5d273c,
המכון,,,Education,,,Education,hmkvn,b406d2013967198098883a83c3ffa84f,
אהובים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hvbym,aac24da879be814d92ef1bd1d4135fda,
המקובלת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hmqvblt,bb4eeb0108f8df7e29b63a742ede7ffb,
מנוסָה,Experienced,m'nuseh,"Passive: Pa'ul, Pu'al and Huf'al",,Experienced,Passive:-Paul-Pual-Hufal,mnvsah,7e96d0d3ea1342918239f3093d899276,
אהובה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hvbh,86cedb10acf8fa8b5dc48d7ebbf54477,
ערפל,"Fog, Mist",arafel ar'filim,Weather,,"Fog, Mist",Weather,`rpl,74abbec96bd72624795bfb9b109ca917,
ושתי,and two (fem.),,Numbers 1,and two (fem.),,Numbers-1,vshty,aca5c0efc1553158c8b002f49e8ae20b,
הייתי יכול,,,The Conditional,,,Verbs:-Conditional,hyyty ykvl,8d4a5282bf6c775678422eb7846e6e07,
היינו צריכים,,,The Conditional,,,Verbs:-Conditional,hyynv tsrykym,2501fa58907123aa9e830e47c0f9cb72,
הקפה,the coffee / the coffee is,,Food 1,the coffee / the coffee is,,Food-1,hqph,117961717dc1fc9526a0632dc1391876,
אל,to / toward / towards,el,Prepositions 2,to / toward / towards,"To(wards), Into (Prep)",Prepositions-2,l,c9896bcd1d8881bde9e7fd83573cd231,
אליכן,,,Prepositions 2,,,Prepositions-2,lykn,8dbe235d7751daa0d75a4ee1cfc96f84,
התור,,,Abstract Objects 1,,,Abstract-Objects-1,htvr,cb782526140a4a0798495cc516c64919,
קופה,,,Animals,,,Animals,qvph,4a4dfa049f56c83099fffd3d0cb9e919,
הפרה,,,Animals,,,Animals,hprh,38fdb3f887a2a92bb3380fab4031ec78,
שגויות,,,Adjectives 2,,,Adjectives-2,shgvyvt,0bf353be9550e3c42ca8f2bd419bfe01,
אקרא,,,Future 2,,,Future-2,qr,4cccbee328b2860f2529346878218fba,
שנלמד,,,Future 2,,,Future-2,shnlmd,a76fb6651e03a98bf024e51981f66186,
מסדרים,"We, You, They (m.p - pres.)",m'sad'rim,Verbs: Present - Pi'el,,"We, You, They (m.p - pres.)",Verbs:-Present-2,msdrym,997a2db6d98dcf50441f1f1853aa2825,
יגיעו,They (m.p),yagi'u,Verbs: Future Active 1,,They (m.p),Verbs:-Future-Active,ygy`v,34c5a06ab9f1cba1b5c39f9dc58d0cbf,
נחמד,nice / nice (sg. masc.) / nicely / pleasant (sg. masc.),nekh'mad,Adjectives 2,nice / nice (sg. masc.) / nicely / pleasant (sg. masc.),Nice,Adjectives-2,nkhmd,57dff6d7031c140a709dd6f9ad153dfc,
חזק,Strong,khazak,Adjectives 2,,Strong,Adjectives-2,khzq,f5947e98051f9daeec62080ff17841b7,
שגוי,Incorrect,shaguy,Adjectives 2,,Incorrect,Adjectives-2,shgvy,40b42406d8b48366c68d1feccea10613,
עצמאיים,,,Adjectives 2,,,Adjectives-2,`tsmyym,6787dcbe9b414fd2fe904264345c9586,
הנכונה,,,Adjectives 2,,,Adjectives-2,hnkvnh,11ca9dcbb6ee32017e98227e86cf0835,
בלתי אפשרית,,,Adjectives 2,,,Adjectives-2,blty pshryt,038bb883031be6ac0ab9f39e2838bb56,
מהילדה,,,Adjectives 2,,,Adjectives-2,mhyldh,485a32c83ab676f33c800aeff1d8c075,
עשיר,Rich,ashir,Adjectives 2,,Rich,Adjectives-2,`shyr,e2f6676a687692843ea61f72b17bed69,
אַל תעמוד,,,Negative Imperatives,,,Negative-Imperatives,al t`mvd,e18f399c8ab5fcbad07abf3c686f2cda,
נותנים,M.P.,not'nim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,nvtnym,93871632442b025e98709596004dbb40,
אומרת,F.S.,omeret,Verbs: Present - Pa'al,,F.S.,Verbs:-Present1,vmrt,166888cec509a8b3388f80a61d48ec9b,
מוכר,M.S.,mokher,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,mvkr,cfa45d6276f5a0da1c6eb70475a7b68c,
הפטרייה,,,Food 1,,,Food-1,hptryyh,334e7110765e3651b1e6e05e3e9f4c4a,
בקר,Beef,bakar,Food 1,,Beef,Food-1,bqr,81e288d326541b4e323b62ff492fe027,
דג,Fish,dag dagim,Food 1,,Fish,Food-1,dg,c417a93e5a746f93e04a66a265931406,
וקפה,,,Food 1,,,Food-1,vqph,e31dc5063ab552b5f8b0e3a94c89b517,
תיאוריות,Theory,te'or'yah te'or'yot,Science,,Theory,Science,tyvryvt,99500a1bf44ea465a8632cfa195f1a83,
פיל,Elephant,pil pilim,Animals,,Elephant,Animals,pyl,d15da6625f8e240433ad4d9307af9a15,
הפילה,,,Animals,,,Animals,hpylh,976df1eff55a6d6ac4a87e5fd514f247,
חמור,Donkey,khamor khamorim,Animals,,Donkey,Animals,khmvr,51d8b3d67d51bbacf8229b3cee48548c,
עכביש,Spider,akavish akh'vishim,Animals,,Spider,Animals,`kbysh,3cd81026439b037176f0fb90614ee342,
הפיל,,,Animals,,,Animals,hpyl,adc73d5c717aeb28a26215bdaa97af19,
באיכות,,,Science,,,Science,bykvt,5a6e7ff49d6fe0f97be3949040727172,
למחקר,to a research / to a study,,Science,to a research / to a study,,Science,lmkhqr,6451af2437f2b5d82abc82f1a0df78b5,
עתה,"Now, Currently",atah,Formal,,"Now, Currently",Formal,`th,09a4da6a2ca12a7a9bb9fb2b0f0204e4,
חדשות,new / news (n),khadashot,Technology and Communication,new / news (n),News,Tech-and-Comm,khdshvt,390a88b1b99ac3c5066ed75bde44e8e0,
באתר,,,Technology and Communication,,,Tech-and-Comm,btr,b41664792efc0615ee7dbcafd7308d0a,
מעלֶה,Degree,ma'alah ma'alot,Technology and Communication,,Degree,Tech-and-Comm,m`leh,8ae8b502386b98bab1bc803e2ddb3215,
האינטרנט,,,Technology and Communication,,,Tech-and-Comm,hyntrnt,32d9494ad96604ec5cec4aee3ef7069f,
נדירים,,,Adjectives 3,,,Adjectives-3,ndyrym,dc0cac28e7ff78060f8a9294bbee03f1,
דחוי,Rejected (m.s),dakhuy,Feelings,,Rejected (m.s),Feelings,dkhvy,dd5e57e1133d3759afbe59f4492c39f4,
שובבה,,,Feelings,,,Feelings,shvbbh,690b360ad122071b24d32d53f3876e3d,
יישלחו,,,Future Nif'al,,,Verbs:-Future-Nifal,yyshlkhv,dee5b9ce8e436f8ad2450d4a4af07410,
הירוק,,,Colors,,,Colors,hyrvq,fedc29b56597114a8bd29fd3f6751346,
באיור,,,Arts,,,Arts,byvr,21028ff66b7eb05e82361efa6c1b5262,
ישראלי,Israeli,ish'r'eli is'r'elim,People,,Israeli,People,yshrly,8184f3c72abc7e6673dd03344f56046a,
שביתת,,,Politics,,,Politics,shbytt,d6023fbfd08ed2971eee5e2b2ca7ec9b,
פעמים,"Once, One Time",pa'am p'amim,Adverbs,,"Once, One Time",Adverbs,p`mym,f80d556362be81a5deb6696556dddee2,
החיפושים,,,Technology and Communication,,,Tech-and-Comm,hkhypvshym,803e459de664cccd1438e061f29f27f6,
סיסמאות,Password,sis'mah sis'ma'ot,Technology and Communication,,Password,Tech-and-Comm,sysmvt,56fefcba55ee76984f4c904e1d483e1d,
תכשיט,A Piece of Jewellery,takhshit takh'shitim,Clothing,,A Piece of Jewellery,Clothing,tkshyt,4486f93e97c831795c782fdcee589126,
הכובע,the hat / the hat is,,Clothing,the hat / the hat is,,Clothing,hkvb`,b1942161c3f96e9a7c4a9fd70d153d6c,
ילדיהם,,,Possessives 2,,,Possessives-2,yldyhm,ce5f5d357d58efa61de5fd3fd824c280,
אבינו,our father,,Possessives 2,our father,,Possessives-2,bynv,f16685b7df4358595c71fe472fb607f7,
סוסִי,,,Possessives 2,,,Possessives-2,svsiy,d0dee21cc2f58f3fb3c8adda7c763632,
אביכם,,,Possessives 2,,,Possessives-2,bykm,7c74df7f394d2529d4e38385c23ccf6c,
הארנק,,,Objects,,,Objects,hrnq,7a3e503ca677a08070031d83e3733a32,
מצעים,"Linen, Bedding",matza'im,Objects,,"Linen, Bedding",Objects,mts`ym,3fdd086d6d68295cfd7fea5fb8fce362,
שעון היד,,,Objects,,,Objects,sh`vn hyd,ea912b9de2b60a032a3e29d2e5c0be09,
החפץ,the object,,Objects,the object,,Objects,hkhpts,406320954cbaaa7bfae041b077cb2f06,
לפעילות,,,Abstract Objects 1,,,Abstract-Objects-1,lp`ylvt,3a4181d28600aff55c10916bfee4501f,
תורי,,,Abstract Objects 1,,,Abstract-Objects-1,tvry,bdadcd511b165152748d911594c75655,
סופי,Final,sofi,Adjectives 3,,Final,Adjectives-3,svpy,314f502f7eda95bd4795d65ca086e4d4,
נפלא,Wonderful,nif'la,Adjectives 3,,Wonderful,Adjectives-3,npl,2510aeaf683a1578637c905ad9a726f0,
לידן,,,Prepositions 1,,,Prepositions-1,lydn,1688407e5b2bcdf806de4496166355d2,
הנושא,the subject / the topic,,Abstract Objects 1,the subject / the topic,,Abstract-Objects-1,hnvsh,6e0536a93c31d058640f3b10fd237d8e,
למצב,,,Abstract Objects 1,,,Abstract-Objects-1,lmtsb,495f3fb88673fbe467b05a681ed1adee,
בתורים,,,Abstract Objects 1,,,Abstract-Objects-1,btvrym,bcf3b280443bf634ad6722049ceaf6ae,
דוגמניות,,,Occupations,,,Occupations,dvgmnyvt,1fa53fd66b9ff6e985d3f47fb7621722,
המזכיר,,,Occupations,,,Occupations,hmzkyr,16bdd7e184c2e4fce0932456cca684a1,
השופט,,,Occupations,,,Occupations,hshvpt,7597760a7d47f8d7e016afb67c8aaf54,
עליהן,,,Prepositions 2,,,Prepositions-2,`lyhn,c46daac999835cd58b9b4745345ec8ba,
אליכם,to you / toward you,,Prepositions 2,to you / toward you,,Prepositions-2,lykm,608eb9767510d93aa2b88665c1cf07ad,
צהוב,yellow (sg. masc.),tzahov,Colors,yellow (sg. masc.),Yellow (m.s),Colors,tshvb,83d41397489631ec43a57360ec4a1e3d,
כחול,Blue (m.s),kakhol,Colors,,Blue (m.s),Colors,kkhvl,04130bccae024c36643197409546b7a8,
ורוד,Pink (m.s),varod,Colors,,Pink (m.s),Colors,vrvd,b3773f471926a82613aea935b88f7b3f,
צבעוני,Colourful (m.s),tziv'oni,Colors,,Colourful (m.s),Colors,tsb`vny,60e271a93007c2a87b414a6923d2aea6,
ירוק,green,yarok,Colors,green,Green (m.s),Colors,yrvq,883eebbc743b1e1615462e4a81ab0314,
כחולים,,,Colors,,,Colors,kkhvlym,fc294beb5428a45c0d843d7f5e86d27a,
העמוד,,,Education,,,Education,h`mvd,964c22ee327a1f905a198a3ab7e3d795,
מכונים,Institute,makhon m'khonim,Education,,Institute,Education,mkvnym,361b19b310cbc5168d5a3e2f530cdbd2,
שיעורים,Lesson,shi'ur shi'urim,Education,,Lesson,Education,shy`vrym,df7af4abfe2f8716f0cc3802d9d024f7,
בשיעור,,,Education,,,Education,bshy`vr,eeef6410796409c152800cc352683da0,
הקושי,,,Education,,,Education,hqvshy,d516163e8a3f82c45bab9c2de085644e,
המשמעות,,,Education,,,Education,hmshm`vt,1261b1371db1e6c2dae9c7185165c333,
משמעויות,meanings,mash'ma'ut mash'ma'uyot,Education,meanings,Meaning,Education,mshm`vyvt,c1821516f4671ebca65f0ee9aca8c83d,
הסטודנט,,,Education,,,Education,hstvdnt,4736637b20a324c19f105dd6c3e15a6a,
במכון,,,Education,,,Education,bmkvn,ee598dbe935c64878b845e3164ed0b32,
עמוד,Page,amud amudim,Education,,Page,Education,`mvd,11bafaeeb7d2e9d6f7072206564ccb12,
המצגת,,,Education,,,Education,hmtsgt,afc7c750af3e4d82df521c24dce3bc80,
עטים,Pen,et etim,Education,,Pen,Education,`tym,4f96836395899387c4946e51a45bbcff,
מצגת,Presentation,matzeget matzagot,Education,,Presentation,Education,mtsgt,883190365ca0c6ad27534cbf9e507450,
בכותל המערבי,,,Religion,,,Religion,bkvtl hm`rby,48831c74c7bce6b03287dd4ef4539ba2,
לנצרות,,,Religion,,,Religion,lntsrvt,ddb33dea546e52e27b24dde2e933f3e1,
בתסריט,,,Arts,,,Arts,btsryt,d152bf5f92a69f020e8a40336bac1047,
סגנונות,Style,sig'non sig'nonot,Arts,,Style,Arts,sgnvnvt,6a0e2b89a1430d60e207b630edc3366c,
הצלם,,,Arts,,,Arts,htslm,b54683104eca8173a67895601e3624a1,
הבמה,,,Arts,,,Arts,hbmh,6440366eec91d57b5e63a4cf0d1ac513,
מכחולים,Paintbrush,mikh'khol mikh'kholim,Arts,,Paintbrush,Arts,mkkhvlym,10253906dd3e199f3c256997ccd38ff9,
צריכים,need / one needs / we should have,,Direct Object,need / one needs / we should have,,Direct-object,tsrykym,66b05397c2a8c23d45d1d9b9e5eae4ef,
הנשים,the women,,Basics,the women,,Basics,hnshym,b41091dd6fc609778b6fccf6b7619509,
שמעתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,shm`ty,b08a30d83e50759dbe04a1e38a95fe37,
אכל,ate / have eaten,akhal,Verbs: Past Active 1,ate / have eaten,Ate (3.m.s) (Qal),Verbs:-Past-Active,kl,c65946c051fd3031ba84ef70df2a34d5,
אמר,"Said, Told (3.m.s) (Qal)",amar,Verbs: Past Active 1,,"Said, Told (3.m.s) (Qal)",Verbs:-Past-Active,mr,d1458a29a3d2b144d87eef113f37606f,
הרגשתְ,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hrgsht@,1c546b9f6294cef672d67930d040f293,
כתבו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,ktbv,94c3b487b170d1a292253a95a2d065d0,
היה לכם,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hyh lkm,0391f75b7d17993be2e4f225ecfe499a,
הציע,"Proposed (l), Offered (3.m.s) (Hifil)",hitzi'a (l),Verbs: Past Active 1,,"Proposed (l), Offered (3.m.s) (Hifil)",Verbs:-Past-Active,htsy`,71114799b148d7b9f0ffc037c26de061,
שמעה,,,Verbs: Past Active 1,,,Verbs:-Past-Active,shm`h,c14b9342ef4f3127bf9436bf61aa83c4,
ארבעים,Forty (m.s),ar'ba'im,Numbers 2,,Forty (m.s),Numbers-2,rb`ym,0fe42206bdba490aa8fe0d2b9b1cd1c6,
חמישים ושמונֶה,,,Numbers 2,,,Numbers-2,khmyshym vshmvneh,9acc8f41b99ef78b1a1dafea343825d2,
הרביעי,,,Numbers 2,,,Numbers-2,hrby`y,dfa1c8d97300a3aaf75ef0e9707b38b3,
רובנו,,,Numbers 2,,,Numbers-2,rvbnv,d06cb7a7729416de839ab22cd968787f,
ארבעים וחמש,,,Numbers 2,,,Numbers-2,rb`ym vkhmsh,e9efddfcee27895fc4daa9b151e18628,
וארבעים וחמישה,,,Numbers 2,,,Numbers-2,vrb`ym vkhmyshh,7c1153ee9e5ef3a33c9172a1cdebe15a,
מבשלים,Cook (m.p - pres.),m'vash'lim,Food 2,,Cook (m.p - pres.),Food-2,mbshlym,6acb3bf7a34fd7c4a1acd66d483e6a1a,
פלפלים,"Pepper, Capsicum",pil'pel pil'p'lim,Food 2,,"Pepper, Capsicum",Food-2,plplym,c307b72d53f99f1e7642c2bea5c658cd,
מסדרת,"I, You, She, It (f.s - pres.)",m'saderet,Verbs: Present - Pi'el,,"I, You, She, It (f.s - pres.)",Verbs:-Present-2,msdrt,493956b3dc61300ea904fe0580ead5c5,
גל חום,,,Weather,,,Weather,gl khvm,85a9c746c5582e82a9e68a19a41b867c,
חולֶה,Sick (m.s),kholeh,Medical,,Sick (m.s),Medical,khvleh,2249ca565d1eb76b5e46ff4d9e067433,
מתאר,"I, You, He, It (m.s - pres.)",m'ta'er,Verbs: Present - Pi'el,,"I, You, He, It (m.s - pres.)",Verbs:-Present-2,mtr,ec927ecd59b36a7ed148937cb034d6bb,
יאכלו,They (m.p),yokh'lu,Verbs: Future Active 1,,They (m.p),Verbs:-Future-Active,yklv,f2ccfe7403da3c073e77496f98b01de3,
יַראה,He/It,yir'eh,Verbs: Future Active 1,,He/It,Verbs:-Future-Active,yarh,8531644940ef4a182eaf8bd12b24a73f,
תשחי,You (f.s),tish'khi,Verbs: Future Active 1,,You (f.s),Verbs:-Future-Active,tshkhy,752af597fdf95d33bd1ba574d1ac003e,
אגיע,"I Will Arrive, Come, Reach (Hifil)",agia,Verbs: Future Active 1,,"I Will Arrive, Come, Reach (Hifil)",Verbs:-Future-Active,gy`,9fe4d290d8b4f144d868e78364016b70,
דחויה,,,Feelings,,,Feelings,dkhvyh,6b45f62bb7f5c14b5c281261d0886bf7,
פסימי,Pessimistic (m.s),pesimi,Feelings,,Pessimistic (m.s),Feelings,psymy,00f464e6b0a396e7ab02193a132f5017,
המשקל,,,Science,,,Science,hmshql,16fd2a17dff32c071e8169d23458f5b0,
תגלית,Discovery,tag'lit tag'liyot,Science,,Discovery,Science,tglyt,56bc99538b87913ededb59e9d0519009,
להפצה,,,Science,,,Science,lhptsh,e2692fbc9a8d3d0e139a4d13f7e38ff9,
מחקר,Research,mekh'kar mekh'karim,Science,,Research,Science,mkhqr,b05f3b74cb4c9402a1ab075d8abe980e,
חשמלית,,,Science,,,Science,khshmlyt,69702da75cafb80e43fe0b7e8a1ab4c7,
עוגת יום ההולדת,,,Construct State 2,,,Contruct-State-2,`vgt yvm hhvldt,99c66d84f430f1bf37286659c6f7c616,
חלון חדר האורחים,,,Construct State 2,,,Contruct-State-2,khlvn khdr hvrkhym,7c68ef9bc46214f2acbc91124acfd680,
רושמים,M.P.,rosh'mim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,rvshmym,7aff45fedf3f4842447076e7a2fa61a3,
בשמים,,,Nature,,,Nature,bshmym,4af6e5f5933a87501bc6e1dedef3fb57,
מערה,"Cave, Cavern",m'arah m'arot,Nature,,"Cave, Cavern",Nature,m`rh,2f593a50c6b038a7eb5285dbdd44b49d,
ונשים,,,Basics,,,Basics,vnshym,d25c815380969905a0b3f426c25a9e70,
בודקת,F.S.,bodeket,Verbs: Present - Pa'al,,F.S.,Verbs:-Present1,bvdqt,fa8a7c4303a2ac31fd008f786e9ab87a,
בודק,check / checking / checks,bodek,Verbs: Present - Pa'al,check / checking / checks,M.S.,Verbs:-Present1,bvdq,732719306e10eaedd70d9881dc9716d2,
שוקלים,M.P.,shok'lim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,shvqlym,0ed22f78eff3aced3cbca2da2c787746,
חוזר,M.S.,khozer,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,khvzr,e0125c2a344b23b0a508dfeca32babb5,
שוכחים,M.P.,shokh'khim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,shvkkhym,e37d5b740ed2142b90d86922872a1601,
הכריך,,,Adjectives 1 - Basics,,,Adjectives1-basics,hkryk,5eb08216903344195097feed9322d312,
עצמאי,Independent,atz'ma'i,Adjectives 2,,Independent,Adjectives-2,`tsmy,43aeb34df3878a89ec443605b42349f7,
נחמדה,,,Adjectives 2,,,Adjectives-2,nkhmdh,8f77b386b6ee0ba44c4863edcbe7b399,
חזקה,strong,,Adjectives 2,strong,,Adjectives-2,khzqh,e220448e937d48c8b026d092fd0bb7c0,
נחמדים,,,Adjectives 2,,,Adjectives-2,nkhmdym,6f4a2524dbf3ce5cc863b784c0649588,
הנכון,,,Adjectives 2,,,Adjectives-2,hnkvn,6086c91d3482deeddf53fdfac352a87c,
בלתי אפשרי,,,Adjectives 2,,,Adjectives-2,blty pshry,d5398d18cc28787ffeaba16b302cdef9,
עשירה,,,Adjectives 2,,,Adjectives-2,`shyrh,d23b8475712fb0a22309f33d441a26ae,
החזק,,,Adjectives 2,,,Adjectives-2,hkhzq,6274b8973f19413f5935f217242f03a2,
רצינית,,,Adjectives 2,,,Adjectives-2,rtsynyt,117706bdd43b9d4048240012b20cb7d9,
שגויה,incorrect (sg. fem.) / wrong (sg. fem.),,Adjectives 2,incorrect (sg. fem.) / wrong (sg. fem.),,Adjectives-2,shgvyh,57969060c88041956fc7dd506ac40031,
ועשירה,,,Adjectives 2,,,Adjectives-2,v`shyrh,54a7e1c97c1f23738a7562e353b82991,
האדמדמים,reddish,,Diminutives,reddish,,Diminutives,hdmdmym,693d999cb66334944a598ee4f5c6a817,
המלונית,,,Diminutives,,,Diminutives,hmlvnyt,1c727e9720928c49604db11eaaf0cdc3,
הידית,the handle,,Diminutives,the handle,,Diminutives,hydyt,ecaddab2d543b57eab997375a55561c2,
הסופי,the final (sg. masc.),,Adjectives 3,the final (sg. masc.),,Adjectives-3,hsvpy,f810fea15b3e4073fedd9db6dfe02be6,
פופולרי,Popular,populari,Adjectives 3,,Popular,Adjectives-3,pvpvlry,9588c5d4f5f59318c7230ff9ccfc1dcd,
בגיל,,,Dates and Time,,,Dates-and-Time,bgyl,f60c30e719aa548075a8bc09e069c56a,
בינואר,,,Dates and Time,,,Dates-and-Time,bynvr,b38a6d31ad37619da15c6d698a866c18,
יום הולדת,,,Dates and Time,,,Dates-and-Time,yvm hvldt,42b62c4bbf1e234e1113fc801be22365,
ביום שני,,,Dates and Time,,,Dates-and-Time,byvm shny,76c02e4bffe2ba7b29d076495efb5cf9,
גן החיות,,,Places,,,Places,gn hkhyvt,0692119d7ff96a00c554f10804938992,
פארק,Park,pa'rk par'kim,Places,,Park,Places,prq,789835a28aed093ac1d6e8b04a5e72c4,
למסע,,,Travel,,,Travel,lms`,5a45783d28653cc72387ad926d61ead0,
הטיול,,,Travel,,,Travel,htyvl,8114460450b1f45bb95995d536ae5847,
בני האדם,,,People,,,People,bny hdm,323da6c09aa59d39f6b3fc1928bf63bb,
אנגלי,English,ang'li,People,,English,People,ngly,7cde46b7d65961dfaa33a560219513f9,
אזרחים,"Citizen, Civilian",ez'rakh ez'rakhim,People,,"Citizen, Civilian",People,zrkhym,5ee1359750c788a121eb0b379194b5ba,
עצמים,,,Objects,,,Objects,`tsmym,956277bd5071b5c0d27e117d0a52784f,
שרשראות,,,Objects,,,Objects,shrshrvt,931977e5d08b1f6e06aa86fbf03097dd,8a716c9b795bf13a392af7ceb14c5f05
העצם,,,Objects,,,Objects,h`tsm,5668ac38ee530de6dcabbc3f2beb18f9,
ארנק,"Wallet, Purse",ar'nak ar'nakim,Objects,,"Wallet, Purse",Objects,rnq,9330b39bb6e80656006a4087168762c9,
השרשרת,,,Objects,,,Objects,hshrshrt,5e4ee22f552a8229829628850ab96433,
הספוג,,,Objects,,,Objects,hspvg,8b6bf851705113c30cfa15056a690b43,
המצעים,,,Objects,,,Objects,hmts`ym,fb9f536599775659aecba2ae45a61c13,
חפצים,Object,khefetz kh'fetzim,Objects,,Object,Objects,khptsym,44c8d32eab861a3f4e33899e3db97b27,
חפץ,Object,khefetz kh'fetzim,Objects,,Object,Objects,khpts,158ae3d4013d50e5805d8ebcd867d79a,
נשארתי,,,Past Nif'al,,,Verbs:-Past-Nifal,nshrty,2d3b923bdc4e67eedf5eb6ca3597ea23,
נפגעו,,,Past Nif'al,,,Verbs:-Past-Nifal,npg`v,c90bb33261aab0f051397ecca650b3fc,
נפתחו,,,Past Nif'al,,,Verbs:-Past-Nifal,nptkhv,16e9fe5d71ade767d1c7b71e75d3131f,
אחזור,,,Future 2,,,Future-2,khzvr,b91677bd22961384bed92e29381eaff0,
יתפללו,,,Future 2,,,Future-2,ytpllv,cbfeb34409b0793d2668a0e649fc1e81,
יעבוד,,,Future 2,,,Future-2,y`bvd,3c80d2c00b900c67c6da61ef4070ff57,
יצליח,,,Future 2,,,Future-2,ytslykh,866854358cdbe57e0fcfa2e1356474af,
יקראו,,,Future 2,,,Future-2,yqrv,de130a03b02d40f965aade90a7f48163,
נחליף,"We Will Replace, Exchange (Hifil)",nakh'lif,Future 2,,"We Will Replace, Exchange (Hifil)",Future-2,nkhlyp,072491ef1b146f89d21dabd983a4ea8c,
שבתאי,saturn,shab'tai,Outer Space,saturn,Saturn,The-Outer-Space,shbty,9adcb74d9324f51420e336c264f3b0d6,
באנגליה,,,Travel,,,Travel,bnglyh,1237ec1997e0ea69ab2994f6263b7bf3,
לפגוש,"To Meet, Encounter (Qal)",lif'gosh,Infinitives 2,,"To Meet, Encounter (Qal)",Verbs:-Infinitives-2,lpgvsh,6b6f27aac24a3235da660399ab9434ce,
להגדיל,"To Increase, Expand (Trans.) (Hifil)",l'hag'dil,Infinitives 2,,"To Increase, Expand (Trans.) (Hifil)",Verbs:-Infinitives-2,lhgdyl,52fc6118c112e8533366fa0abf0a83b9,
לשקול,Weigh; Consider; Ponder (Qal),lish'kol,Infinitives 2,,Weigh; Consider; Ponder (Qal),Verbs:-Infinitives-2,lshqvl,d1001ffab18d3b86a0d9399de7f48db3,
לעצור,"To Stop, Halt (Qal)",la'atzor,Infinitives 2,,"To Stop, Halt (Qal)",Verbs:-Infinitives-2,l`tsvr,5a3c90292f842f0a2768ee472a39adf6,
לעזוב,"Leave, abandon (Qal)",la'azov,Infinitives 2,,"Leave, abandon (Qal)",Verbs:-Infinitives-2,l`zvb,de73eb2b887d2d99e427bb0591e730a8,
להפסיד,"To Lose (Game, Money) (Hifil)",l'haf'sid,Infinitives 2,,"To Lose (Game, Money) (Hifil)",Verbs:-Infinitives-2,lhpsyd,00177e53933f1d11a5193309e8392edb,
להבין,To Understand (Hifil),l'havin,Infinitives 2,,To Understand (Hifil),Verbs:-Infinitives-2,lhbyn,6b7e89799c553fbacc60750cd9fbd294,72dc4ce6488f578a36b1d6358f022da6
לאהוב,To Love (Qal),le'ehov,Infinitives 2,,To Love (Qal),Verbs:-Infinitives-2,lhvb,03937389336d670190cafe24a43560e9,
